N,step,algorithm,status,time_sec,max_ram_kb,output
10000,algorithm,sl,OK,137,16692024,experiments_salmonella_algorithms/tree_sl_10000.nwk
10000,algorithm,cl,OK,122,16947156,experiments_salmonella_algorithms/tree_cl_10000.nwk
10000,algorithm,upgma,OK,131,16793436,experiments_salmonella_algorithms/tree_upgma_10000.nwk
10000,algorithm,upgmc,OK,41,15883540,experiments_salmonella_algorithms/tree_upgmc_10000.nwk
10000,algorithm,wpgma,OK,134,16872372,experiments_salmonella_algorithms/tree_wpgma_10000.nwk
10000,algorithm,wpgmc,OK,44,15917468,experiments_salmonella_algorithms/tree_wpgmc_10000.nwk
10000,algorithm,saitounei,OK,7721,69715888,experiments_salmonella_algorithms/tree_saitounei_10000.nwk
10000,algorithm,studierkepler,OK,1,321388,experiments_salmonella_algorithms/tree_studierkepler_10000.nwk
10000,algorithm,unj,OK,7934,72392900,experiments_salmonella_algorithms/tree_unj_10000.nwk
25000,distance,,OK,1409,25761992,experiments_salmonella_algorithms/dist_25000.txt
25000,algorithm,sl,OK,994,142297112,experiments_salmonella_algorithms/tree_sl_25000.nwk
25000,algorithm,cl,OK,891,142931104,experiments_salmonella_algorithms/tree_cl_25000.nwk
25000,algorithm,upgma,OK,1174,142899064,experiments_salmonella_algorithms/tree_upgma_25000.nwk
25000,algorithm,upgmc,OK,366,88632112,experiments_salmonella_algorithms/tree_upgmc_25000.nwk
25000,algorithm,wpgma,OK,964,142892348,experiments_salmonella_algorithms/tree_wpgma_25000.nwk
25000,algorithm,wpgmc,OK,340,98511516,experiments_salmonella_algorithms/tree_wpgmc_25000.nwk
12500,algorithm,sl,OK,1,1404948,experiments_salmonella_algorithms/tree_sl_12500.nwk
12500,algorithm,cl,OK,1,1469752,experiments_salmonella_algorithms/tree_cl_12500.nwk
12500,algorithm,upgma,OK,1,1516588,experiments_salmonella_algorithms/tree_upgma_12500.nwk
12500,algorithm,upgmc,OK,1,1540716,experiments_salmonella_algorithms/tree_upgmc_12500.nwk
12500,algorithm,wpgma,OK,1,1590716,experiments_salmonella_algorithms/tree_wpgma_12500.nwk
12500,algorithm,wpgmc,OK,1,1635140,experiments_salmonella_algorithms/tree_wpgmc_12500.nwk
12500,algorithm,studierkepler,OK,0,321472,experiments_salmonella_algorithms/tree_studierkepler_12500.nwk
25000,algorithm,studierkepler,OK,0,324548,experiments_salmonella_algorithms/tree_studierkepler_25000.nwk
12500,algorithm,sl,OK,2,5069176,experiments_salmonella_algorithms/tree_sl_12500.nwk
12500,algorithm,cl,OK,3,5147484,experiments_salmonella_algorithms/tree_cl_12500.nwk
12500,algorithm,upgma,OK,2,5239600,experiments_salmonella_algorithms/tree_upgma_12500.nwk
12500,algorithm,upgmc,OK,3,5307632,experiments_salmonella_algorithms/tree_upgmc_12500.nwk
12500,algorithm,wpgma,OK,2,5405696,experiments_salmonella_algorithms/tree_wpgma_12500.nwk
